Exchange,Precio,Fecha
ace,84188.65,2025-03-14 15:13:18
ascendex,84320.72,2025-03-14 15:13:21
bequant,84344.04,2025-03-14 15:13:22
bigone,84315.54,2025-03-14 15:13:24
binance,84309.01,2025-03-14 15:13:29
binanceus,84639.01,2025-03-14 15:13:31
bingx,84308.6,2025-03-14 15:13:35
bitbns,85000.0,2025-03-14 15:13:40
bitcoincom,84313.32,2025-03-14 15:13:42
bitfinex,84339.0,2025-03-14 15:13:45
bitfinex1,84339.0,2025-03-14 15:13:59
bitget,84261.52,2025-03-14 15:14:05
bitmart,84243.92,2025-03-14 15:14:14
bitmex,84552.0,2025-03-14 15:14:18
bitopro,84250.0,2025-03-14 15:14:19
bitrue,84235.97,2025-03-14 15:14:30
bitso,84419.0,2025-03-14 15:14:32
bitstamp,84628.0,2025-03-14 15:14:34
bitteam,77377.927498,2025-03-14 15:14:35
blockchaincom,83451.62,2025-03-14 15:14:38
btcalpha,84151.18,2025-03-14 15:14:41
btcmarkets,79023.24,2025-03-14 15:14:43
btcturk,84209.0,2025-03-14 15:14:44
bybit,84295.24,2025-03-14 15:14:53
cex,84548.0,2025-03-14 15:14:57
coinbase,84282.78,2025-03-14 15:14:59
coinbaseadvanced,84294.31,2025-03-14 15:15:01
coinbaseexchange,84294.31,2025-03-14 15:15:02
coincatch,84281.12,2025-03-14 15:15:05
coinex,84274.1,2025-03-14 15:15:10
coinlist,84273.36,2025-03-14 15:15:11
coinmate,77000.4,2025-03-14 15:15:12
coinmetro,84287.22089776082,2025-03-14 15:15:13
coinsph,84521.64,2025-03-14 15:15:17
cryptocom,84280.35,2025-03-14 15:15:18
cryptomus,84277.7,2025-03-14 15:15:20
delta,84275.5,2025-03-14 15:15:26
deribit,84275.0,2025-03-14 15:15:28
digifinex,84285.41,2025-03-14 15:15:34
exmo,84257.57,2025-03-14 15:15:37
fmfwio,84283.06,2025-03-14 15:15:40
gate,84271.0,2025-03-14 15:15:49
gateio,84271.1,2025-03-14 15:15:59
gemini,84254.77,2025-03-14 15:16:00
hashkey,84273.6,2025-03-14 15:16:05
hitbtc,84261.67,2025-03-14 15:16:07
hollaex,84515.55,2025-03-14 15:16:09
htx,84279.22,2025-03-14 15:16:16
huobi,84320.84,2025-03-14 15:16:21
indodax,84496.0,2025-03-14 15:16:31
kraken,84275.4,2025-03-14 15:16:33
kucoin,84167.1,2025-03-14 15:16:36
latoken,84189.13,2025-03-14 15:16:46
lbank,84188.53,2025-03-14 15:16:48
luno,84180.0,2025-03-14 15:16:51
mexc,84140.55,2025-03-14 15:16:57
myokx,84158.5,2025-03-14 15:17:00
ndax,29869.01,2025-03-14 15:17:02
novadax,84124.37,2025-03-14 15:17:03
oceanex,84310.87,2025-03-14 15:17:06
okx,84109.0,2025-03-14 15:17:10
p2b,84178.93,2025-03-14 15:17:18
phemex,84200.0,2025-03-14 15:17:22
poloniex,84073.9,2025-03-14 15:17:25
probit,84283.1,2025-03-14 15:17:28
timex,84388.0,2025-03-14 15:17:31
tokocrypto,84129.35,2025-03-14 15:17:34
tradeogre,,2025-03-14 15:17:34
upbit,84930.89,2025-03-14 15:17:36
whitebit,84138.64,2025-03-14 15:17:39
xt,84121.7,2025-03-14 15:17:53
yobit,83978.35,2025-03-14 15:17:56
